"dgp","idx_d","d","truth_seed","row","col","A_base"
"dgp1",4,20,20270004,7,7,0.220380745162752
"dgp1",4,20,20270004,8,7,0
"dgp1",4,20,20270004,9,7,0.220380745162752
"dgp1",4,20,20270004,10,7,0
"dgp1",4,20,20270004,11,7,0
"dgp1",4,20,20270004,12,7,0
"dgp1",4,20,20270004,13,7,0
"dgp1",4,20,20270004,14,7,0
"dgp1",4,20,20270004,15,7,0
"dgp1",4,20,20270004,16,7,0
"dgp1",4,20,20270004,17,7,0
"dgp1",4,20,20270004,18,7,0
"dgp1",4,20,20270004,19,7,0
"dgp1",4,20,20270004,20,7,0
"dgp1",4,20,20270004,1,8,0
"dgp1",4,20,20270004,2,8,0
"dgp1",4,20,20270004,3,8,0
"dgp1",4,20,20270004,4,8,0
"dgp1",4,20,20270004,5,8,0.220380745162752
"dgp1",4,20,20270004,6,8,0
"dgp1",4,20,20270004,7,8,0
"dgp1",4,20,20270004,8,8,0.220380745162752
"dgp1",4,20,20270004,9,8,0
"dgp1",4,20,20270004,10,8,0
"dgp1",4,20,20270004,11,8,0
"dgp1",4,20,20270004,12,8,0
"dgp1",4,20,20270004,13,8,0
"dgp1",4,20,20270004,14,8,0
"dgp1",4,20,20270004,15,8,0
"dgp1",4,20,20270004,16,8,0
"dgp1",4,20,20270004,17,8,0
"dgp1",4,20,20270004,18,8,0
"dgp1",4,20,20270004,19,8,0
"dgp1",4,20,20270004,20,8,0
"dgp1",4,20,20270004,1,9,0
"dgp1",4,20,20270004,2,9,0
"dgp1",4,20,20270004,3,9,0
"dgp1",4,20,20270004,4,9,0
"dgp1",4,20,20270004,5,9,0
"dgp1",4,20,20270004,6,9,0
"dgp1",4,20,20270004,7,9,0
"dgp1",4,20,20270004,8,9,0
"dgp1",4,20,20270004,9,9,0.220380745162752
"dgp1",4,20,20270004,10,9,0
"dgp1",4,20,20270004,11,9,0
"dgp1",4,20,20270004,12,9,0
"dgp1",4,20,20270004,13,9,0
"dgp1",4,20,20270004,14,9,0
"dgp1",4,20,20270004,15,9,0
"dgp1",4,20,20270004,16,9,0.220380745162752
"dgp1",4,20,20270004,17,9,0
"dgp1",4,20,20270004,18,9,0
"dgp1",4,20,20270004,19,9,0
"dgp1",4,20,20270004,20,9,0
"dgp1",4,20,20270004,1,10,0
"dgp1",4,20,20270004,2,10,0.220380745162752
"dgp1",4,20,20270004,3,10,0
"dgp1",4,20,20270004,4,10,0
"dgp1",4,20,20270004,5,10,0.220380745162752
"dgp1",4,20,20270004,6,10,0
"dgp1",4,20,20270004,7,10,0
"dgp1",4,20,20270004,8,10,0
"dgp1",4,20,20270004,9,10,0
"dgp1",4,20,20270004,10,10,0.220380745162752
"dgp1",4,20,20270004,11,10,0
"dgp1",4,20,20270004,12,10,0
"dgp1",4,20,20270004,13,10,0.220380745162752
"dgp1",4,20,20270004,14,10,0
"dgp1",4,20,20270004,15,10,0
"dgp1",4,20,20270004,16,10,0
"dgp1",4,20,20270004,17,10,0
"dgp1",4,20,20270004,18,10,0
"dgp1",4,20,20270004,19,10,0.220380745162752
"dgp1",4,20,20270004,20,10,0
"dgp1",4,20,20270004,1,11,0
"dgp1",4,20,20270004,2,11,0
"dgp1",4,20,20270004,3,11,0
"dgp1",4,20,20270004,4,11,0
"dgp1",4,20,20270004,5,11,0.220380745162752
"dgp1",4,20,20270004,6,11,0
"dgp1",4,20,20270004,7,11,0.220380745162752
"dgp1",4,20,20270004,8,11,0
"dgp1",4,20,20270004,9,11,0
"dgp1",4,20,20270004,10,11,0
"dgp1",4,20,20270004,11,11,0.220380745162752
"dgp1",4,20,20270004,12,11,0
"dgp1",4,20,20270004,13,11,0.220380745162752
"dgp1",4,20,20270004,14,11,0.220380745162752
"dgp1",4,20,20270004,15,11,0
"dgp1",4,20,20270004,16,11,0
"dgp1",4,20,20270004,17,11,0
"dgp1",4,20,20270004,18,11,0
"dgp1",4,20,20270004,19,11,0
"dgp1",4,20,20270004,20,11,0
"dgp1",4,20,20270004,1,12,0
"dgp1",4,20,20270004,2,12,0
"dgp1",4,20,20270004,3,12,0
"dgp1",4,20,20270004,4,12,0
"dgp1",4,20,20270004,5,12,0
"dgp1",4,20,20270004,6,12,0.220380745162752
"dgp1",4,20,20270004,7,12,0.220380745162752
"dgp1",4,20,20270004,8,12,0
"dgp1",4,20,20270004,9,12,0.220380745162752
"dgp1",4,20,20270004,10,12,0
"dgp1",4,20,20270004,11,12,0
