"dgp","idx_d","idx_T","rep","d","T_sample","truth_seed","data_seed"
"dgp1",1,5,75,5,1000,20270001,20365401
"dgp1",1,5,76,5,1000,20270001,20365402
"dgp1",1,5,77,5,1000,20270001,20365403
"dgp1",1,5,78,5,1000,20270001,20365404
"dgp1",1,5,79,5,1000,20270001,20365405
"dgp1",1,5,80,5,1000,20270001,20365406
"dgp1",1,5,81,5,1000,20270001,20365407
"dgp1",1,5,82,5,1000,20270001,20365408
"dgp1",1,5,83,5,1000,20270001,20365409
"dgp1",1,5,84,5,1000,20270001,20365410
"dgp1",1,5,85,5,1000,20270001,20365411
"dgp1",1,5,86,5,1000,20270001,20365412
"dgp1",1,5,87,5,1000,20270001,20365413
"dgp1",1,5,88,5,1000,20270001,20365414
"dgp1",1,5,89,5,1000,20270001,20365415
"dgp1",1,5,90,5,1000,20270001,20365416
"dgp1",1,5,91,5,1000,20270001,20365417
"dgp1",1,5,92,5,1000,20270001,20365418
"dgp1",1,5,93,5,1000,20270001,20365419
"dgp1",1,5,94,5,1000,20270001,20365420
"dgp1",1,5,95,5,1000,20270001,20365421
"dgp1",1,5,96,5,1000,20270001,20365422
"dgp1",1,5,97,5,1000,20270001,20365423
"dgp1",1,5,98,5,1000,20270001,20365424
"dgp1",1,5,99,5,1000,20270001,20365425
"dgp1",1,5,100,5,1000,20270001,20365426
"dgp1",1,6,1,5,2000,20270001,20366327
"dgp1",1,6,2,5,2000,20270001,20366328
"dgp1",1,6,3,5,2000,20270001,20366329
"dgp1",1,6,4,5,2000,20270001,20366330
"dgp1",1,6,5,5,2000,20270001,20366331
"dgp1",1,6,6,5,2000,20270001,20366332
"dgp1",1,6,7,5,2000,20270001,20366333
"dgp1",1,6,8,5,2000,20270001,20366334
"dgp1",1,6,9,5,2000,20270001,20366335
"dgp1",1,6,10,5,2000,20270001,20366336
"dgp1",1,6,11,5,2000,20270001,20366337
"dgp1",1,6,12,5,2000,20270001,20366338
"dgp1",1,6,13,5,2000,20270001,20366339
"dgp1",1,6,14,5,2000,20270001,20366340
"dgp1",1,6,15,5,2000,20270001,20366341
"dgp1",1,6,16,5,2000,20270001,20366342
"dgp1",1,6,17,5,2000,20270001,20366343
"dgp1",1,6,18,5,2000,20270001,20366344
"dgp1",1,6,19,5,2000,20270001,20366345
"dgp1",1,6,20,5,2000,20270001,20366346
"dgp1",1,6,21,5,2000,20270001,20366347
"dgp1",1,6,22,5,2000,20270001,20366348
"dgp1",1,6,23,5,2000,20270001,20366349
"dgp1",1,6,24,5,2000,20270001,20366350
"dgp1",1,6,25,5,2000,20270001,20366351
"dgp1",1,6,26,5,2000,20270001,20366352
"dgp1",1,6,27,5,2000,20270001,20366353
"dgp1",1,6,28,5,2000,20270001,20366354
"dgp1",1,6,29,5,2000,20270001,20366355
"dgp1",1,6,30,5,2000,20270001,20366356
"dgp1",1,6,31,5,2000,20270001,20366357
"dgp1",1,6,32,5,2000,20270001,20366358
"dgp1",1,6,33,5,2000,20270001,20366359
"dgp1",1,6,34,5,2000,20270001,20366360
"dgp1",1,6,35,5,2000,20270001,20366361
"dgp1",1,6,36,5,2000,20270001,20366362
"dgp1",1,6,37,5,2000,20270001,20366363
"dgp1",1,6,38,5,2000,20270001,20366364
"dgp1",1,6,39,5,2000,20270001,20366365
"dgp1",1,6,40,5,2000,20270001,20366366
