"tuning","T_sample","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"cv",100,"A-Th",18,3.72222222222222,18,3.63888888888889,18,4.02777777777778,18,5.41666666666667,18,4.02777777777778,18,5.27777777777778,18
"cv",100,"A-Ref",18,7.05555555555556,18,6.77777777777778,18,4.13888888888889,18,4.30555555555556,18,4.13888888888889,18,4.22222222222222,18
"cv",100,"A-Rlx",18,4.72222222222222,18,4.44444444444444,18,4.13888888888889,18,4.30555555555556,18,4.13888888888889,18,4.22222222222222,18
"cv",100,"A-Des",18,10.2777777777778,18,10.25,18,10.5,18,9.11111111111111,18,10.5,18,8.66666666666667,18
"cv",100,"ScL",18,6.33333333333333,18,6.77777777777778,18,2.11111111111111,18,3.5,18,2.11111111111111,18,5.16666666666667,18
"cv",200,"L",18,3.38888888888889,18,3.22222222222222,18,7.5,18,6.83333333333333,18,7.5,18,6.83333333333333,18
"cv",200,"L-Th",18,6.61111111111111,18,7.66666666666667,18,4.66666666666667,18,5.77777777777778,18,4.66666666666667,18,6.33333333333333,18
"cv",200,"L-Ref",18,8.05555555555556,18,7.66666666666667,18,7.5,18,6.83333333333333,18,7.5,18,6.83333333333333,18
"cv",200,"L-Rlx",18,4.55555555555556,18,4.38888888888889,18,7.5,18,6.83333333333333,18,7.5,18,6.83333333333333,18
"cv",200,"L-Des",18,10.3333333333333,18,10.0833333333333,18,10.5,18,10,18,10.5,18,9.55555555555556,18
"cv",200,"A",18,2.44444444444444,18,2.52777777777778,18,3.97222222222222,18,4.36111111111111,18,3.97222222222222,18,4.30555555555556,18
"cv",200,"A-Th",18,2.77777777777778,18,2.69444444444444,18,3.13888888888889,18,3.41666666666667,18,3.13888888888889,18,3.52777777777778,18
"cv",200,"A-Ref",18,6,18,5.61111111111111,18,3.97222222222222,18,4.36111111111111,18,3.97222222222222,18,4.30555555555556,18
"cv",200,"A-Rlx",18,3.72222222222222,18,3.44444444444444,18,3.97222222222222,18,4.36111111111111,18,3.97222222222222,18,4.30555555555556,18
"cv",200,"A-Des",18,10.3333333333333,18,10.1388888888889,18,10.5,18,10,18,10.5,18,9.55555555555556,18
"cv",200,"ScL",18,7.77777777777778,18,8.55555555555556,18,2.77777777777778,18,3.22222222222222,18,2.77777777777778,18,3.61111111111111,18
"cv",300,"L",18,3.88888888888889,18,4.11111111111111,18,7.75,18,7.27777777777778,18,7.75,18,7.16666666666667,18
"cv",300,"L-Th",18,6.33333333333333,18,7.44444444444444,18,3.80555555555556,18,4.38888888888889,18,3.80555555555556,18,5,18
"cv",300,"L-Ref",18,8,18,7.77777777777778,18,7.75,18,7.27777777777778,18,7.75,18,7.16666666666667,18
"cv",300,"L-Rlx",18,5.16666666666667,18,5,18,7.75,18,7.27777777777778,18,7.75,18,7.16666666666667,18
"cv",300,"L-Des",18,10.3611111111111,18,9.88888888888889,18,10.5,18,10.0555555555556,18,10.5,18,10.0555555555556,18
"cv",300,"A",18,2.38888888888889,18,1.91666666666667,18,4.08333333333333,18,4.41666666666667,18,4.08333333333333,18,4.30555555555556,18
"cv",300,"A-Th",18,2.5,18,2.30555555555556,18,3.25,18,3.5,18,3.25,18,3.38888888888889,18
"cv",300,"A-Ref",18,5.38888888888889,18,5.27777777777778,18,4.08333333333333,18,4.41666666666667,18,4.08333333333333,18,4.30555555555556,18
"cv",300,"A-Rlx",18,3.33333333333333,18,3.22222222222222,18,4.08333333333333,18,4.41666666666667,18,4.08333333333333,18,4.30555555555556,18
"cv",300,"A-Des",18,10.0833333333333,18,9.88888888888889,18,10.5,18,10.0555555555556,18,10.5,18,10.0555555555556,18
