"snr","tuning","T_sample","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
1,"theory",1000,"A",18,10.0555555555556,10.1111111111111,4.02777777777778,5.22222222222222,4.02777777777778,5.22222222222222
1,"theory",1000,"A-Th",18,10.8333333333333,10.8888888888889,6.5,7,6.5,7.22222222222222
1,"theory",1000,"A-Ref",18,5.94444444444444,5.94444444444444,4.02777777777778,5.22222222222222,4.02777777777778,5.22222222222222
1,"theory",1000,"A-Rlx",18,8.61111111111111,8.66666666666667,4.02777777777778,5.22222222222222,4.02777777777778,5.22222222222222
1,"theory",1000,"A-Des",18,6.22222222222222,5.72222222222222,10.5,10,10.5,9.88888888888889
1,"theory",1000,"ScL",18,5.55555555555556,5.44444444444444,4.19444444444444,4.02777777777778,4.19444444444444,4.02777777777778
1,"theory",2000,"L",18,4.77777777777778,4.16666666666667,7.5,7.27777777777778,7.5,7.22222222222222
1,"theory",2000,"L-Th",18,3.61111111111111,4.38888888888889,1.97222222222222,1.97222222222222,1.97222222222222,1.97222222222222
1,"theory",2000,"L-Ref",18,2.61111111111111,3.11111111111111,7.5,7.27777777777778,7.5,7.22222222222222
1,"theory",2000,"L-Rlx",18,1.72222222222222,2.44444444444444,7.5,7.27777777777778,7.5,7.22222222222222
1,"theory",2000,"L-Des",18,6.72222222222222,6.61111111111111,10.5,10.2222222222222,10.5,10.2222222222222
1,"theory",2000,"A",18,10.1944444444444,10.0833333333333,3.5,3.61111111111111,3.5,3.61111111111111
1,"theory",2000,"A-Th",18,10.8055555555556,10.6944444444444,4.72222222222222,5.86111111111111,4.72222222222222,6.02777777777778
1,"theory",2000,"A-Ref",18,4.55555555555556,4.83333333333333,3.5,3.61111111111111,3.5,3.61111111111111
1,"theory",2000,"A-Rlx",18,8.72222222222222,8.16666666666667,3.5,3.61111111111111,3.5,3.61111111111111
1,"theory",2000,"A-Des",18,6.5,6.16666666666667,10.5,10.2222222222222,10.5,10.2222222222222
1,"theory",2000,"ScL",18,5.77777777777778,5.33333333333333,5.30555555555556,5.05555555555556,5.30555555555556,5.05555555555556
1,"cv",100,"L",18,2.94444444444444,2.94444444444444,8,7.30555555555556,8,7.27777777777778
1,"cv",100,"L-Th",18,6.11111111111111,6.66666666666667,2.83333333333333,4.36111111111111,2.83333333333333,4.55555555555556
1,"cv",100,"L-Ref",18,8.11111111111111,7.88888888888889,8,7.30555555555556,8,7.27777777777778
1,"cv",100,"L-Rlx",18,3.66666666666667,4.44444444444444,8,7.30555555555556,8,7.27777777777778
1,"cv",100,"L-Des",18,10.2777777777778,10.2222222222222,10.5,10.5,10.5,10.4444444444444
1,"cv",100,"A",18,3.61111111111111,2.80555555555556,3.80555555555556,3.88888888888889,3.80555555555556,3.72222222222222
1,"cv",100,"A-Th",18,3.38888888888889,3.19444444444444,2.86111111111111,2.86111111111111,2.86111111111111,3.13888888888889
1,"cv",100,"A-Ref",18,5.61111111111111,5.72222222222222,3.80555555555556,3.88888888888889,3.80555555555556,3.72222222222222
1,"cv",100,"A-Rlx",18,3.61111111111111,3.44444444444444,3.80555555555556,3.88888888888889,3.80555555555556,3.72222222222222
1,"cv",100,"A-Des",18,10.2777777777778,10,10.5,10.5,10.5,10.4444444444444
1,"cv",100,"ScL",18,8.38888888888889,8.66666666666667,3.88888888888889,4.19444444444444,3.88888888888889,4.41666666666667
1,"cv",200,"L",18,4.94444444444444,4.5,8,8,8,8
1,"cv",200,"L-Th",18,5.38888888888889,6.72222222222222,1.75,1.83333333333333,1.75,2.11111111111111
1,"cv",200,"L-Ref",18,8.27777777777778,8.05555555555556,8,8,8,8
1,"cv",200,"L-Rlx",18,5.61111111111111,5.11111111111111,8,8,8,8
1,"cv",200,"L-Des",18,10.5,10.2777777777778,10.5,10.5,10.5,10.5
1,"cv",200,"A",18,2.63888888888889,2.44444444444444,4.02777777777778,4.05555555555556,4.02777777777778,4.02777777777778
1,"cv",200,"A-Th",18,2.47222222222222,2.88888888888889,2.77777777777778,2.66666666666667,2.77777777777778,2.58333333333333
1,"cv",200,"A-Ref",18,4.66666666666667,4.61111111111111,4.02777777777778,4.05555555555556,4.02777777777778,4.02777777777778
1,"cv",200,"A-Rlx",18,2.61111111111111,2.61111111111111,4.02777777777778,4.05555555555556,4.02777777777778,4.02777777777778
1,"cv",200,"A-Des",18,9.83333333333333,9.94444444444444,10.5,10.5,10.5,10.5
1,"cv",200,"ScL",18,9.05555555555556,8.83333333333333,4.38888888888889,4.33333333333333,4.38888888888889,4.22222222222222
1,"cv",300,"L",18,5.27777777777778,5.22222222222222,8,8,8,8
1,"cv",300,"L-Th",18,5,6.27777777777778,1.38888888888889,1.38888888888889,1.38888888888889,1.44444444444444
1,"cv",300,"L-Ref",18,8.33333333333333,8,8,8,8,8
1,"cv",300,"L-Rlx",18,6.16666666666667,6.11111111111111,8,8,8,8
1,"cv",300,"L-Des",18,10.5,10.4444444444444,10.5,10.5,10.5,10.5
1,"cv",300,"A",18,2.52777777777778,2.41666666666667,4.05555555555556,4.08333333333333,4.05555555555556,4.08333333333333
1,"cv",300,"A-Th",18,2.13888888888889,2.47222222222222,2.41666666666667,2.33333333333333,2.41666666666667,2.33333333333333
1,"cv",300,"A-Ref",18,4.33333333333333,3.83333333333333,4.05555555555556,4.08333333333333,4.05555555555556,4.08333333333333
1,"cv",300,"A-Rlx",18,2.72222222222222,2.38888888888889,4.05555555555556,4.08333333333333,4.05555555555556,4.08333333333333
1,"cv",300,"A-Des",18,9.83333333333333,9.77777777777778,10.5,10.5,10.5,10.5
1,"cv",300,"ScL",18,9.16666666666667,9.05555555555556,5.02777777777778,5.02777777777778,5.02777777777778,4.97222222222222
1,"cv",500,"L",18,6.16666666666667,6.11111111111111,8,8,8,8
1,"cv",500,"L-Th",18,4.77777777777778,4.88888888888889,1.58333333333333,1.58333333333333,1.58333333333333,1.58333333333333
1,"cv",500,"L-Ref",18,8.38888888888889,8.55555555555556,8,8,8,8
1,"cv",500,"L-Rlx",18,6.55555555555556,6.5,8,8,8,8
1,"cv",500,"L-Des",18,10.6666666666667,10.4444444444444,10.5,10.5,10.5,10.5
1,"cv",500,"A",18,2.66666666666667,2.13888888888889,3.88888888888889,3.88888888888889,3.88888888888889,3.88888888888889
1,"cv",500,"A-Th",18,2,2.19444444444444,2.41666666666667,2.41666666666667,2.41666666666667,2.41666666666667
1,"cv",500,"A-Ref",18,3.88888888888889,3.94444444444444,3.88888888888889,3.88888888888889,3.88888888888889,3.88888888888889
1,"cv",500,"A-Rlx",18,2.05555555555556,2.83333333333333,3.88888888888889,3.88888888888889,3.88888888888889,3.88888888888889
1,"cv",500,"A-Des",18,9.66666666666667,9.66666666666667,10.5,10.5,10.5,10.5
1,"cv",500,"ScL",18,9.16666666666667,8.72222222222222,5.33333333333333,5.33333333333333,5.33333333333333,5.33333333333333
1,"cv",1000,"L",18,6.33333333333333,5.61111111111111,8,8,8,8
