"snr","tuning","d","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
2,"theory",20,"A-Th",18,10.8055555555556,10.9166666666667,7.41666666666667,7.86111111111111,7.41666666666667,8.58333333333333
2,"theory",20,"A-Ref",18,7.44444444444444,7,5.47222222222222,5.91666666666667,5.47222222222222,6.30555555555556
2,"theory",20,"A-Rlx",18,8.72222222222222,8.94444444444444,5.47222222222222,5.91666666666667,5.47222222222222,6.30555555555556
2,"theory",20,"A-Des",18,5.44444444444444,5.33333333333333,10.5,9.55555555555556,10.5,8.77777777777778
2,"theory",20,"ScL",18,4.61111111111111,4.61111111111111,4.44444444444444,4.38888888888889,4.44444444444444,4.22222222222222
2,"theory",25,"L",18,4.72222222222222,4.5,4.72222222222222,4.55555555555556,4.72222222222222,4.55555555555556
2,"theory",25,"L-Th",18,5.05555555555556,5.55555555555556,2.25,2.41666666666667,2.25,2.41666666666667
2,"theory",25,"L-Ref",18,1.22222222222222,1.44444444444444,4.72222222222222,4.55555555555556,4.72222222222222,4.55555555555556
2,"theory",25,"L-Rlx",18,2,1.77777777777778,4.72222222222222,4.55555555555556,4.72222222222222,4.55555555555556
2,"theory",25,"L-Des",18,5.94444444444444,6.16666666666667,10.5,9.5,10.5,8.88888888888889
2,"theory",25,"A",18,9.75,9.91666666666667,5.5,6.11111111111111,5.5,6.33333333333333
2,"theory",25,"A-Th",18,10.6944444444444,10.8611111111111,7.86111111111111,8.52777777777778,7.86111111111111,9.08333333333333
2,"theory",25,"A-Ref",18,7.77777777777778,7.27777777777778,5.5,6.11111111111111,5.5,6.33333333333333
2,"theory",25,"A-Rlx",18,8.55555555555556,8.72222222222222,5.5,6.11111111111111,5.5,6.33333333333333
2,"theory",25,"A-Des",18,5.83333333333333,5.38888888888889,10.5,9.5,10.5,8.88888888888889
2,"theory",25,"ScL",18,4.44444444444444,4.38888888888889,4.22222222222222,4.05555555555556,4.22222222222222,4.05555555555556
2,"theory",30,"L",18,4.66666666666667,4.55555555555556,4.38888888888889,4.38888888888889,4.38888888888889,4.33333333333333
2,"theory",30,"L-Th",18,5,5.33333333333333,2.16666666666667,2.5,2.16666666666667,2.5
2,"theory",30,"L-Ref",18,1.16666666666667,1.33333333333333,4.38888888888889,4.38888888888889,4.38888888888889,4.33333333333333
2,"theory",30,"L-Rlx",18,1.94444444444444,1.77777777777778,4.38888888888889,4.38888888888889,4.38888888888889,4.33333333333333
2,"theory",30,"L-Des",18,6.22222222222222,6.16666666666667,10.5,9.27777777777778,10.5,8.72222222222222
2,"theory",30,"A",18,9.63888888888889,9.91666666666667,5.91666666666667,6.47222222222222,5.91666666666667,6.75
2,"theory",30,"A-Th",18,10.6388888888889,10.8611111111111,7.91666666666667,8.52777777777778,7.91666666666667,9.13888888888889
2,"theory",30,"A-Ref",18,8.22222222222222,7.55555555555556,5.91666666666667,6.47222222222222,5.91666666666667,6.75
2,"theory",30,"A-Rlx",18,8.55555555555556,8.72222222222222,5.91666666666667,6.47222222222222,5.91666666666667,6.75
2,"theory",30,"A-Des",18,5.66666666666667,5.5,10.5,9.27777777777778,10.5,8.72222222222222
2,"theory",30,"ScL",18,4.27777777777778,4.27777777777778,4,3.83333333333333,4,3.66666666666667
2,"cv",5,"L",18,7.61111111111111,6.33333333333333,8,8,8,8
2,"cv",5,"L-Th",18,6.27777777777778,6.44444444444444,3.69444444444444,3.61111111111111,3.69444444444444,3.61111111111111
2,"cv",5,"L-Ref",18,7.61111111111111,7.77777777777778,8,8,8,8
2,"cv",5,"L-Rlx",18,5.16666666666667,5.11111111111111,8,8,8,8
2,"cv",5,"L-Des",18,10.5555555555556,9.72222222222222,10.5,10.5,10.5,10.5
2,"cv",5,"A",18,3.25,3.16666666666667,2.97222222222222,3.02777777777778,2.97222222222222,3.02777777777778
2,"cv",5,"A-Th",18,3.08333333333333,3.16666666666667,2.63888888888889,2.63888888888889,2.63888888888889,2.63888888888889
2,"cv",5,"A-Ref",18,2.05555555555556,3.66666666666667,2.97222222222222,3.02777777777778,2.97222222222222,3.02777777777778
2,"cv",5,"A-Rlx",18,1.72222222222222,2.77777777777778,2.97222222222222,3.02777777777778,2.97222222222222,3.02777777777778
2,"cv",5,"A-Des",18,9.66666666666667,9.5,10.5,10.5,10.5,10.5
2,"cv",5,"ScL",18,9,8.33333333333333,5.75,5.66666666666667,5.75,5.66666666666667
2,"cv",10,"L",18,6.61111111111111,6.5,8,8,8,8
2,"cv",10,"L-Th",18,5.44444444444444,5.27777777777778,3.36111111111111,3.36111111111111,3.36111111111111,3.36111111111111
2,"cv",10,"L-Ref",18,8.33333333333333,8.38888888888889,8,8,8,8
2,"cv",10,"L-Rlx",18,6.16666666666667,6.33333333333333,8,8,8,8
2,"cv",10,"L-Des",18,10.6111111111111,10.6111111111111,10.5,10.5,10.5,10.5
2,"cv",10,"A",18,2.75,2.52777777777778,3.22222222222222,3.22222222222222,3.22222222222222,3.22222222222222
2,"cv",10,"A-Th",18,2.25,2.47222222222222,2.41666666666667,2.41666666666667,2.41666666666667,2.41666666666667
2,"cv",10,"A-Ref",18,3.61111111111111,3.72222222222222,3.22222222222222,3.22222222222222,3.22222222222222,3.22222222222222
2,"cv",10,"A-Rlx",18,1.66666666666667,2.11111111111111,3.22222222222222,3.22222222222222,3.22222222222222,3.22222222222222
2,"cv",10,"A-Des",18,9.72222222222222,9.72222222222222,10.5,10.5,10.5,10.5
2,"cv",10,"ScL",18,8.83333333333333,8.33333333333333,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556
2,"cv",15,"L",18,6.5,6.16666666666667,8,8,8,8
2,"cv",15,"L-Th",18,5.05555555555556,5.5,2.44444444444444,2.44444444444444,2.44444444444444,2.44444444444444
2,"cv",15,"L-Ref",18,8.66666666666667,8.38888888888889,8,8,8,8
