"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp1",20,200,"A-Th",11,11,9,9,9,11
1,"theory","dgp1",20,200,"A-Ref",8,8,4,7,4,7
1,"theory","dgp1",20,200,"A-Rlx",9,9,4,7,4,7
1,"theory","dgp1",20,200,"A-Des",6,7,10.5,10.5,10.5,9.5
1,"theory","dgp1",20,200,"ScL",5,5,2,2,2,2
1,"theory","dgp1",20,300,"L",4,4,8,7,8,7
1,"theory","dgp1",20,300,"L-Th",3,3,1,1,1,1
1,"theory","dgp1",20,300,"L-Ref",2,2,8,7,8,7
1,"theory","dgp1",20,300,"L-Rlx",1,1,8,7,8,7
1,"theory","dgp1",20,300,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",20,300,"A",10,10,4,4,4,4
1,"theory","dgp1",20,300,"A-Th",11,11,6,9,6,9
1,"theory","dgp1",20,300,"A-Ref",8,8,4,4,4,4
1,"theory","dgp1",20,300,"A-Rlx",9,9,4,4,4,4
1,"theory","dgp1",20,300,"A-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp1",20,300,"ScL",5,5,2,2,2,2
1,"theory","dgp1",20,500,"L",4,4,8,8,8,8
1,"theory","dgp1",20,500,"L-Th",3,3,1,1,1,1
1,"theory","dgp1",20,500,"L-Ref",2,2,8,8,8,8
1,"theory","dgp1",20,500,"L-Rlx",1,1,8,8,8,8
1,"theory","dgp1",20,500,"L-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",20,500,"A",10,10,3,3,3,3
1,"theory","dgp1",20,500,"A-Th",11,11,6,6,6,6
1,"theory","dgp1",20,500,"A-Ref",6,6,3,3,3,3
1,"theory","dgp1",20,500,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",20,500,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",20,500,"ScL",5,5,5,5,5,5
1,"theory","dgp1",20,1000,"L",5,5,8,8,8,8
1,"theory","dgp1",20,1000,"L-Th",4,4,3,3,3,3
1,"theory","dgp1",20,1000,"L-Ref",3,3,8,8,8,8
1,"theory","dgp1",20,1000,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp1",20,1000,"L-Des",8,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",20,1000,"A",10,10,3,3,3,3
1,"theory","dgp1",20,1000,"A-Th",11,11,3,3,3,3
1,"theory","dgp1",20,1000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",20,1000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",20,1000,"A-Des",7,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",20,1000,"ScL",6,6,6,6,6,6
1,"theory","dgp1",20,2000,"L",5,4,8,8,8,8
1,"theory","dgp1",20,2000,"L-Th",4,5,3,3,3,3
1,"theory","dgp1",20,2000,"L-Ref",3,3,8,8,8,8
1,"theory","dgp1",20,2000,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp1",20,2000,"L-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",20,2000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",20,2000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",20,2000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",20,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",20,2000,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",20,2000,"ScL",6,6,6,6,6,6
1,"theory","dgp1",25,100,"L",3,3,4,3,4,3
1,"theory","dgp1",25,100,"L-Th",5,7,2,5,2,5
1,"theory","dgp1",25,100,"L-Ref",2,2,4,3,4,3
1,"theory","dgp1",25,100,"L-Rlx",1,1,4,3,4,3
1,"theory","dgp1",25,100,"L-Des",7,6,10.5,10.5,10.5,9.5
1,"theory","dgp1",25,100,"A",10,10,7,7,7,7
1,"theory","dgp1",25,100,"A-Th",11,11,9,9,9,11
1,"theory","dgp1",25,100,"A-Ref",9,8,7,7,7,7
1,"theory","dgp1",25,100,"A-Rlx",8,9,7,7,7,7
1,"theory","dgp1",25,100,"A-Des",6,5,10.5,10.5,10.5,9.5
1,"theory","dgp1",25,100,"ScL",4,4,1,1,1,1
1,"theory","dgp1",25,200,"L",3,3,7,4,7,4
1,"theory","dgp1",25,200,"L-Th",4,4,1,1,1,1
1,"theory","dgp1",25,200,"L-Ref",2,2,7,4,7,4
1,"theory","dgp1",25,200,"L-Rlx",1,1,7,4,7,4
1,"theory","dgp1",25,200,"L-Des",7,7,10.5,10.5,10.5,9.5
1,"theory","dgp1",25,200,"A",10,10,4,7,4,7
1,"theory","dgp1",25,200,"A-Th",11,11,9,9,9,11
1,"theory","dgp1",25,200,"A-Ref",8,8,4,7,4,7
1,"theory","dgp1",25,200,"A-Rlx",9,9,4,7,4,7
1,"theory","dgp1",25,200,"A-Des",6,6,10.5,10.5,10.5,9.5
1,"theory","dgp1",25,200,"ScL",5,5,2,2,2,2
1,"theory","dgp1",25,300,"L",4,4,7,7,7,4
1,"theory","dgp1",25,300,"L-Th",3,3,1,1,1,1
1,"theory","dgp1",25,300,"L-Ref",2,2,7,7,7,4
1,"theory","dgp1",25,300,"L-Rlx",1,1,7,7,7,4
1,"theory","dgp1",25,300,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",25,300,"A",10,10,4,4,4,7
1,"theory","dgp1",25,300,"A-Th",11,11,9,9,9,9
1,"theory","dgp1",25,300,"A-Ref",8,8,4,4,4,7
1,"theory","dgp1",25,300,"A-Rlx",9,9,4,4,4,7
1,"theory","dgp1",25,300,"A-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp1",25,300,"ScL",5,5,2,2,2,2
1,"theory","dgp1",25,500,"L",4,4,8,8,8,7
1,"theory","dgp1",25,500,"L-Th",3,3,1,1,1,1
1,"theory","dgp1",25,500,"L-Ref",2,2,8,8,8,7
1,"theory","dgp1",25,500,"L-Rlx",1,1,8,8,8,7
1,"theory","dgp1",25,500,"L-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",25,500,"A",10,10,3.5,4,3.5,4
1,"theory","dgp1",25,500,"A-Th",11,11,6,6,6,9
1,"theory","dgp1",25,500,"A-Ref",8,8,3.5,4,3.5,4
1,"theory","dgp1",25,500,"A-Rlx",9,9,3.5,4,3.5,4
1,"theory","dgp1",25,500,"A-Des",7,6,10.5,10.5,10.5,10.5
1,"theory","dgp1",25,500,"ScL",5,5,3.5,2,3.5,2
1,"theory","dgp1",25,1000,"L",5,3,8,8,8,8
1,"theory","dgp1",25,1000,"L-Th",4,4,1,1,1,1
1,"theory","dgp1",25,1000,"L-Ref",2,2,8,8,8,8
1,"theory","dgp1",25,1000,"L-Rlx",1,1,8,8,8,8
1,"theory","dgp1",25,1000,"L-Des",7,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",25,1000,"A",10,10,3,3,3,3
1,"theory","dgp1",25,1000,"A-Th",11,11,5,5,5,5
1,"theory","dgp1",25,1000,"A-Ref",3,5,3,3,3,3
1,"theory","dgp1",25,1000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",25,1000,"A-Des",8,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",25,1000,"ScL",6,6,6,6,6,6
1,"theory","dgp1",25,2000,"L",5,4,8,8,8,8
1,"theory","dgp1",25,2000,"L-Th",4,3,3,3,3,3
1,"theory","dgp1",25,2000,"L-Ref",3,5,8,8,8,8
1,"theory","dgp1",25,2000,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp1",25,2000,"L-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",25,2000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",25,2000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",25,2000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",25,2000,"A-Rlx",9,9,3,3,3,3
